,address_name,price,square_price,floors,total_floors,rooms,area,local,type_home,remont,balcon
379,"Ярославское шоссе, 55",8600000,245714,1,16,1,35.0,Москва,loyout,well_done,1
380,"улица Москвитина, 5к3",10990000,261666,22,25,1,42.0,Московский,loyout,well_done,1
381,"улица Александры Монаховой, 95к3",10300000,245238,15,17,1,42.0,Москва,loyout,well_done,1
382,"Октябрьский проспект, 8",7999999,248447,3,12,1,32.2,Троицк,loyout,well_done,1
383,"улица Чечулина, 22",9999000,285685,3,9,1,35.0,Москва,loyout,well_done,1
384,"Дубнинская улица, 53к3",12200000,322751,16,17,1,37.8,Москва,loyout,well_done,1
385,"Очаковское шоссе, 5к1",14600000,456250,7,17,1,32.0,Москва,loyout,well_done,1
386,"Ясеневая улица, 21к2",10700000,297222,9,9,1,36.0,Москва,loyout,well_done,1
387,"посёлок Шишкин Лес, 21к1",7400000,188775,11,13,1,39.2,посёлок Шишкин Лес,loyout,well_done,1
388,"Туристская улица, 12к1",13999000,354405,14,17,1,39.5,Москва,loyout,well_done,1
389,"улица Никитина, 18к1",9300000,248000,14,17,1,37.5,Московский,loyout,well_done,1
390,"Челобитьевское шоссе, 12к3",11000000,289473,15,17,1,38.0,Москва,loyout,well_done,1
391,"улица Грина, 36",10000000,295857,15,15,1,33.8,Москва,loyout,well_done,1
392,"улица Мнёвники, 10к1",14900000,372500,10,12,1,40.0,Москва,loyout,well_done,1
393,"улица Островитянова, 18к2",11900000,359516,12,12,1,33.1,Москва,loyout,well_done,1
394,"Зеленоград, к1107",8900000,258720,3,22,1,34.4,Зеленоград,loyout,well_done,2
395,"Ленинградское шоссе, 29",16999999,407673,6,17,1,41.7,Москва,loyout,well_done,2
396,"улица Академика Анохина, 2к3",20500000,366071,8,21,1,56.0,Москва,loyout,well_done,2
397,"Филёвский бульвар, 16",12350000,307980,4,16,1,40.1,Москва,loyout,well_done,2
398,"Челябинская улица, 6",12000000,303797,11,12,1,39.5,Москва,loyout,well_done,2
399,"Куликовская улица, 9к1",12500000,321336,9,12,1,38.9,Москва,loyout,well_done,2
400,"Домодедовская улица, 6к2",12000000,309278,10,12,1,38.8,Москва,loyout,well_done,2
401,"Кантемировская улица, 16к2",11700000,302325,12,14,1,38.7,Москва,loyout,well_done,2
402,"Зеленоград, к1620",8500000,199063,12,14,1,42.7,Зеленоград,loyout,well_done,2
403,"Дубнинская улица, 22к3",11000000,276381,7,12,1,39.8,Москва,loyout,well_done,2
404,"Филёвский бульвар, 23",13300000,340153,4,12,1,39.1,Москва,loyout,well_done,2
405,"Коломенская улица, 5",15490000,377804,4,12,1,41.0,Москва,loyout,well_done,2
406,"улица Маршала Полубоярова, 24к3",11000000,261904,8,12,1,42.0,Москва,loyout,well_done,2
407,"улица Липчанского, 6",10400000,266666,15,17,1,39.0,Москва,flat,design,1
408,"улица Маршала Голованова, 13",11900000,316489,8,17,1,37.6,Москва,flat,design,1
409,"улица Введенского, 20к1",13300000,380000,9,9,1,35.0,Москва,flat,design,1
410,"Варшавское шоссе, 50",12799000,365685,12,12,1,35.0,Москва,flat,design,1
411,"Профсоюзная улица, 85к1",13800000,431250,4,9,1,32.0,Москва,flat,design,1
412,"Сочинская улица, 3к1",11200000,297082,6,17,1,37.7,Москва,flat,design,1
413,"улица Чичерина, 2/9",12650000,316250,15,16,1,40.0,Москва,flat,design,1
414,"Батайский проезд, 5",8900000,234210,16,16,1,38.0,Москва,flat,design,1
415,"улица Знаменские Садки, 11",10450000,261250,14,22,1,40.0,Москва,flat,design,1
416,"улица Грина, 1к8",11750000,293750,24,24,1,40.0,Москва,flat,design,1
417,"Радужный проезд, 3",9950000,213519,20,25,1,46.6,Московский,flat,design,1
