,address_name,price,square_price,floors,total_floors,rooms,area,local,type_home,remont,balcon
389,"Подольская улица, 17",20490000,320156,12,12,3,64.0,Москва,flat,design,1
390,"Астрадамская улица, 6",19900000,398000,9,9,3,50.0,Москва,flat,design,1
391,"Нагатинская набережная, 40А",27000000,329268,20,20,3,82.0,Москва,flat,design,1
392,"улица Довженко, 12к2",28500000,438461,12,12,3,65.0,Москва,flat,design,1
393,"улица Юных Ленинцев, 65/47к2",19900000,355357,5,5,3,56.0,Москва,flat,design,1
394,"улица Кедрова, 19",42000000,558510,17,17,3,75.2,Москва,flat,design,1
395,"улица Маршала Тухачевского, 29",27800000,327058,16,16,3,85.0,Москва,flat,design,1
396,"улица Грекова, 3к2",22500000,350467,16,16,3,64.2,Москва,flat,design,2
397,"Долгоруковская улица, 2",44800000,498331,13,13,3,89.9,Москва,flat,design,2
398,"Дубнинская улица, 2к1",16499000,260812,12,12,3,63.26,Москва,flat,design,2
399,"проспект Защитников Москвы, 12",18500000,248322,17,17,3,74.5,Москва,flat,design,2
400,"Никулинская улица, 23к3",25425000,328064,17,17,3,77.5,Москва,flat,design,2
401,"7-я Парковая улица, 16к1",25000000,342465,17,17,3,73.0,Москва,flat,design,2
402,"Голубинская улица, 25к2",20699000,287486,9,9,3,72.0,Москва,flat,design,2
403,"Окская улица, 3к1",22950000,264705,22,22,3,86.7,Москва,flat,design,2
404,"13-я Парковая улица, 42",26000000,342555,14,14,3,75.9,Москва,flat,design,2
405,"улица Гурьянова, 65",19500000,288035,21,21,3,67.7,Москва,flat,design,2
406,"улица Бестужевых, 17А",12350000,243110,9,9,3,50.8,Москва,flat,without_repair,1
407,"Керамический проезд, 69к1",12845000,208522,12,12,3,61.6,Москва,flat,without_repair,1
408,"Бирюлёвская улица, 21к2",12400000,214162,9,9,3,57.9,Москва,flat,without_repair,1
409,"Кировоградская улица, 17к1",19999000,270622,16,16,3,73.9,Москва,flat,without_repair,1
410,"Профсоюзная улица, 136к2",16500000,275000,9,9,3,60.0,Москва,flat,without_repair,1
411,"Шенкурский проезд, 8Б",12500000,245579,9,9,3,50.9,Москва,flat,without_repair,1
412,"улица Академика Волгина, 9к2",15500000,264505,9,9,3,58.6,Москва,flat,without_repair,1
413,"Дорожная улица, 20к3",13950000,222488,12,12,3,62.7,Москва,flat,without_repair,1
414,"Рязанский проспект, 91к1",12900000,215000,9,9,3,60.0,Москва,flat,without_repair,1
415,"Днепропетровская улица, 27к1",10900000,223819,9,9,3,48.7,Москва,flat,without_repair,1
